espece,parade,construction nid,ponte,eclosion,envol
faucon crecerelle,05/03,25/03,15/04,30/05,30/06
faucon pelerin,25/02,15/03,30/03,20/04,15/05
faucon hobereau,05/05,25/05,05/06,10/07,05/08
epervier d'europe,25/03,15/04,05/05,10/06,15/07
pic epeiche,05/03,30/03,15/04,05/05,25/05
pic vert,05/03,05/04,15/04,05/05,05/06
pic noir,05/02,25/02,15/03,15/04,15/05
buse variable,05/02,05/03,05/04,05/05,05/06
milan noir,05/03,25/03,05/04,05/05,05/06
balbuzard pecheur,05/03,25/03,05/04,05/05,05/06
hibou moyen-duc,15/02,05/03,25/03,25/04,25/05
